destination_id,year,rows
102,2005,22804
102,2006,22159
102,2007,23148
102,2008,24769
102,2009,24158
102,2010,22180
102,2011,23047
102,2012,25749
102,2013,26920
102,2014,26297
102,2015,27979
102,2016,26784
102,2017,28757
102,2018,27758
102,2019,27787
102,2020,8583
102,2021,4062
102,2022,574
102,2023,0
102,2024,0
102,2025,0
102,2026,0
110,1990,0
110,1991,0
110,1992,0
110,1993,0
110,1994,0
110,1995,0
110,1996,0
110,1997,0
110,1998,3809
110,1999,3664
110,2000,14540
110,2001,14051
110,2002,13816
110,2003,12945
110,2004,15038
110,2005,15117
110,2006,14721
110,2007,13751
110,2008,12758
110,2009,11809
110,2010,10927
110,2011,12005
110,2012,12849
110,2013,13084
110,2014,13052
110,2015,12990
110,2016,13024
110,2017,8067
110,2018,12037
110,2019,8957
110,2020,9036
110,2021,10436
110,2022,12628
110,2023,13820
110,2024,13817
110,2025,13768
110,2026,7950
111,1990,0
111,1991,0
111,1992,0
111,1993,0
111,1994,0
111,1995,0
111,1996,0
111,1997,0
111,1998,3459
111,1999,3542
111,2000,15141
111,2001,14240
111,2002,12344
111,2003,10518
111,2004,12563
111,2005,12334
111,2006,12047
111,2007,11497
111,2008,11267
111,2009,10798
111,2010,8953
111,2011,10662
111,2012,12404
111,2013,13084
111,2014,12913
111,2015,12992
111,2016,13104
111,2017,4264
111,2018,0
111,2019,0
111,2020,0
111,2021,0
111,2022,0
111,2023,0
111,2024,0
111,2025,0
111,2026,0
112,1990,0
112,1991,0
112,1992,0
112,1993,0
112,1994,0
112,1995,0
112,1996,0
112,1997,0
112,1998,0
112,1999,0
112,2000,0
112,2001,0
112,2002,0
112,2003,0
112,2004,0
112,2005,0
112,2006,0
112,2007,1628
112,2008,11322
112,2009,10430
112,2010,11265
112,2011,14351
112,2012,16123
112,2013,16018
112,2014,15775
112,2015,15374
112,2016,15243
112,2017,5055
112,2018,0
112,2019,0
112,2020,0
112,2021,0
112,2022,0
112,2023,0
112,2024,0
112,2025,0
112,2026,0
121,1990,0
121,1991,0
121,1992,0
121,1993,0
121,1994,0
121,1995,0
121,1996,0
121,1997,0
121,1998,0
121,1999,0
121,2000,4973
121,2001,8335
121,2002,6731
121,2003,7173
121,2004,7376
121,2005,7510
121,2006,7705
121,2007,7838
121,2008,7825
121,2009,7603
121,2010,7164
121,2011,8342
121,2012,9535
121,2013,10436
121,2014,9759
121,2015,10156
121,2016,10522
121,2017,10637
121,2018,11108
121,2019,12331
121,2020,9819
121,2021,10252
121,2022,11523
121,2023,9063
121,2024,5368
121,2025,11000
121,2026,6468
122,1990,0
122,1991,0
122,1992,0
122,1993,0
122,1994,0
122,1995,0
122,1996,0
122,1997,0
122,1998,0
122,1999,0
122,2000,0
122,2001,0
122,2002,0
122,2003,0
122,2004,0
122,2005,0
122,2006,0
122,2007,0
122,2008,0
122,2009,0
122,2010,0
122,2011,0
122,2012,0
122,2013,0
122,2014,0
122,2015,0
122,2016,0
122,2017,0
122,2018,0
122,2019,0
122,2020,0
122,2021,0
122,2022,0
122,2023,0
122,2024,0
122,2025,0
122,2026,0
130,1990,0
130,1991,0
130,1992,0
130,1993,0
130,1994,0
130,1995,0
130,1996,0
130,1997,0
130,1998,0
130,1999,0
130,2000,0
130,2001,0
130,2002,9337
130,2003,15043
130,2004,14196
130,2005,13968
130,2006,13334
130,2007,13991
130,2008,13077
130,2009,13224
130,2010,12048
130,2011,12175
130,2012,12726
130,2013,12898
130,2014,12746
130,2015,12707
130,2016,12560
130,2017,12500
130,2018,12497
130,2019,12333
130,2020,7749
130,2021,10726
130,2022,11646
130,2023,12048
130,2024,12095
130,2025,12048
130,2026,7104
140,1990,0
140,1991,0
140,1992,0
140,1993,0
140,1994,0
140,1995,0
140,1996,0
140,1997,0
140,1998,3960
140,1999,4108
140,2000,17985
140,2001,17433
140,2002,17417
140,2003,17913
140,2004,19198
140,2005,19017
140,2006,18358
140,2007,18829
140,2008,20562
140,2009,19853
140,2010,18026
140,2011,19592
140,2012,21602
140,2013,21819
140,2014,23220
140,2015,23857
140,2016,24091
140,2017,23524
140,2018,24315
140,2019,24603
140,2020,19529
140,2021,22458
140,2022,24790
140,2023,24063
140,2024,21790
140,2025,21109
140,2026,12624
141,1990,0
141,1991,0
141,1992,0
141,1993,0
141,1994,0
141,1995,0
141,1996,0
141,1997,0
141,1998,3440
141,1999,3566
141,2000,14291
141,2001,14586
141,2002,15811
141,2003,16859
141,2004,17239
141,2005,17338
141,2006,16778
141,2007,16789
141,2008,16268
141,2009,16182
141,2010,14964
141,2011,18434
141,2012,21837
141,2013,20562
141,2014,23305
141,2015,23906
141,2016,24165
141,2017,23560
141,2018,24181
141,2019,24819
141,2020,19531
141,2021,22460
141,2022,24791
141,2023,23687
141,2024,21472
141,2025,20891
141,2026,12285
150,1990,0
150,1991,0
150,1992,0
150,1993,0
150,1994,0
150,1995,0
150,1996,0
150,1997,0
150,1998,3159
150,1999,2947
150,2000,13591
150,2001,13563
150,2002,13182
150,2003,13120
150,2004,13711
150,2005,13900
150,2006,13697
150,2007,14193
150,2008,13653
150,2009,13449
150,2010,12607
150,2011,13481
150,2012,14220
150,2013,14360
150,2014,14200
150,2015,14320
150,2016,14122
150,2017,13886
150,2018,13841
150,2019,13678
150,2020,11243
150,2021,12555
150,2022,14147
150,2023,14049
150,2024,14003
150,2025,13660
150,2026,8201
151,1990,0
151,1991,0
151,1992,0
151,1993,0
151,1994,0
151,1995,0
151,1996,0
151,1997,0
151,1998,3095
151,1999,2989
151,2000,13927
151,2001,15149
151,2002,14164
151,2003,13643
151,2004,14532
151,2005,14535
151,2006,17905
151,2007,18184
151,2008,18506
151,2009,17680
151,2010,17097
151,2011,18062
151,2012,18661
151,2013,18278
151,2014,17512
151,2015,16248
151,2016,14729
151,2017,14484
151,2018,13655
151,2019,13581
151,2020,10496
151,2021,10154
151,2022,15046
151,2023,14633
151,2024,14055
151,2025,14147
151,2026,8475
160,1990,0
160,1991,0
160,1992,0
160,1993,0
160,1994,0
160,1995,0
160,1996,0
160,1997,0
160,1998,4085
160,1999,4310
160,2000,18815
160,2001,18815
160,2002,19947
160,2003,21918
160,2004,22463
160,2005,22351
160,2006,21187
160,2007,23431
160,2008,24188
160,2009,24331
160,2010,23062
160,2011,24630
160,2012,25923
160,2013,26969
160,2014,28475
160,2015,28742
160,2016,30616
160,2017,32190
160,2018,30458
160,2019,23801
160,2020,20387
160,2021,23979
